BANC,FAFB,MANC
720575941671658407,720575940623122125,26767
720575941573616891,720575940645258606,12783
720575941527011865,720575940617894429,11592
720575941546513001,720575940624349993,17244
720575941569836914,720575940625420986,53595462076
720575941404711792,720575940614236200,15597
720575941515922778,720575940624977847,15513
720575941435983136,720575940623324395,12548
720575941471238263,720575940603874784,13483
720575941460102340,720575940618855883,11612
720575941515152195,720575940630425083,13502
720575941626032074,720575940625887207,15131
720575941440672085,720575940615879965,10718
720575941523106295,720575940624280066,16926
720575941611418442,720575940631000773,13879
720575941733215019,720575940636879534,16746
720575941643577445,720575940635552948,28617
720575941408617519,720575940619519092,20094
720575941495055486,720575940620561840,26854
720575941538336381,720575940635166571,27993
720575941451941498,720575940633165452,12291
720575941555710547,720575940629312300,22394
720575941560435059,720575940608716809,23962
720575941469716445,720575940633228172,15280
720575941520133367,720575940627621628,11863
720575941483701178,720575940630221509,15099
720575941580602869,720575940619273398,13189
720575941534222770,720575940616293855,10829
720575941545087493,720575940629589711,18797
720575941439151378,720575940619888622,17954
720575941453830637,720575940620297819,23404
720575941639588127,720575940604103084,12064
720575941521285047,720575940628337511,12608
720575941499200585,720575940645534516,15074
720575941404748144,720575940624484796,15356
720575941471454583,720575940608735241,12934
720575941612195501,720575940614384757,15249
720575941516762515,720575940627302908,14044
720575941548170120,720575940624459907,16053
720575941624572042,720575940617031385,32504
720575941506304828,720575940622276744,14654
720575941530152907,720575940635254117,11386
720575941631642860,720575940603591014,13542
720575941472609632,720575940631844300,14443
720575941612321382,720575940637101413,25931
720575941477889310,720575940615942924,13372
720575941663701884,720575940647560500,34737
720575941644268626,720575940612648106,39006
720575941515746051,720575940623137212,19287
720575941657558296,720575940657604225,15967
720575941477298996,720575940629774274,20082
720575941435997984,720575940612206810,28048
720575941439550271,720575940623804260,16311
720575941591448972,720575940625090314,15855
720575941655820244,720575940634229871,16571
720575941609747430,720575940628993871,21454
720575941595083734,720575940625638916,154469
720575941604585662,720575940628467830,27737
720575941495918665,720575940613816062,33943
720575941442861482,720575940610091955,26285
720575941503680087,720575940634615288,18347
720575941681032125,720575940630492714,21714
720575941639531125,720575940627699599,16261
720575941471405664,720575940647654521,25614
720575941651139349,720575940611462885,35992
720575941583462110,720575940622805700,25989
720575941490535600,720575940639919824,32493
720575941450039477,720575940615378399,154601
720575941586451166,720575940621706605,22297
720575941587152862,720575940639787630,22413
720575941579793909,720575940632161311,16648
720575941414779284,720575940613977706,24300
720575941556199652,720575940618086535,33725
720575941687936219,720575940610595442,18637
720575941480693187,720575940614398570,159928
720575941438719967,720575940618827910,26991
720575941532753893,720575940622631382,19926
720575941565008384,720575940615088434,23644
720575941558298660,720575940627718444,23001
720575941512515907,720575940640962158,20439
720575941576782774,720575940633697903,28408
720575941451023482,720575940620017261,40420
720575941652493524,720575940641781133,26502
720575941475341610,720575940615058216,32146
720575941551093639,720575940612019825,27396
720575941639802655,720575940616688286,28812
720575941518277815,720575940639746979,29320
720575941614893013,720575940627595772,33755
720575941612982169,720575940630829563,42130
720575941571453342,720575940621783628,42161
720575941580369489,720575940637667443,24656
720575941508261922,720575940626399588,36962
720575941625993371,720575940633543531,31006
720575941553019475,720575940605244704,14110
720575941604343225,720575940635564896,18953
720575941631020192,720575940630382075,37876
720575941440714959,720575940642027464,25543
720575941608733673,720575940630333911,30119
720575941614190099,720575940619341744,34669
720575941686310895,720575940631035603,23461
720575941612937881,720575940615354054,24433
720575941413523604,720575940638155497,23161
720575941633124539,720575940618599150,28965
720575941568305658,720575940628361554,28289
720575941588503948,720575940629460986,30004
720575941393196950,720575940621629578,31497
720575941467559702,720575940633041503,29021
720575941458263024,720575940619657972,27034
720575941612873692,720575940632628122,18348
720575941534075370,720575940636098367,45443
720575941435418656,720575940633304312,22442
720575941548187681,720575940627744143,27468
720575941540535069,720575940632355885,31361
720575941518945459,720575940634525303,41384
720575941533345034,720575940623887422,16693
720575941637903733,720575940616279872,154881
720575941690343576,720575940631454433,47553
720575941510037714,720575940622950844,20183
720575941589678078,720575940622797244,40070
720575941621460476,720575940622949820,151705
720575941610332636,720575940647673721,15646
720575941543379644,720575940615134557,52792479575
720575941592628950,720575940621534273,43234
720575941577519961,720575940610341582,151715
720575941610874598,720575940627362715,22662
720575941508749858,720575940625632516,151730
720575941433063694,720575940610376658,13391
720575941651213553,720575940606375772,16498
720575941552359303,720575940618057921,50450
720575941644062290,720575940614607675,27113
720575941642369125,720575940629321734,47217
720575941510361298,720575940603786686,40948
720575941545989556,720575940622951757,20146
720575941644283986,720575940622561063,100644
720575941481045155,720575940629686339,34052
720575941415605276,720575940633324724,102211
720575941430975329,720575940640128720,30738
720575941519192792,720575940612387474,18662
720575941448124692,720575940628825348,42273
720575941450506830,720575940627949589,10012
720575941456180461,720575940604470956,153153
720575941499077089,720575940624121161,30130
720575941502628695,720575940623431351,10323
720575941503846706,720575940619089005,44692
720575941506196247,720575940629390123,10813
720575941520735411,720575940620473547,50104
720575941539816061,720575940621157645,20104
720575941540257741,720575940608145026,32388
720575941568946938,720575940659703937,39959
720575941585231838,720575940630440645,10448
720575941604056505,720575940625486357,13984
720575941612233830,720575940619661888,13083
720575941625226890,720575940637114190,163100
720575941633920443,720575940609025092,19057
720575941652433393,720575940615502604,51939777929
